,depth,f1_score
0,4,0.9172823536128885
1,5,0.927049510876383
2,6,0.9244844411091948
3,7,0.9253555596816943
4,8,0.92152934228089
5,9,0.927747100951669
6,10,0.9016746573616068
7,11,0.908631324013621
8,12,0.9058418387922995
9,13,0.9017869444215899
10,14,0.917621001110599
11,15,0.9180554663499251
